faze-vs-ence-mirage.out
de_mirage
DMG/!Aerial/!24.012,73.117/!ump45/!Bymas/!24.340,81.683/!17
DMG/!Jamppi/!44.124,69.281/!awp/!Bymas/!24.307,81.703/!39
DMG/!Aerial/!23.830,73.141/!ump45/!Bymas/!24.162,81.736/!17
DMG/!Aerial/!23.892,73.140/!ump45/!Bymas/!24.147,81.736/!17
KILL/!Aerial/!23.892,73.140/!ump45/!Bymas/!24.147,81.736
DMG/!NiKo /!26.296,80.636/!deagle/!Jamppi/!43.924,69.892/!161
KILL/!NiKo /!26.296,80.636/!deagle HS/!Jamppi/!43.924,69.892
DMG/!broky /!24.150,77.092/!glock/!Aerial/!23.930,73.156/!53
DMG/!broky /!24.418,77.085/!glock/!Aerial/!23.929,73.154/!13
DMG/!Aerial/!23.967,73.153/!ump45/!broky /!24.641,77.059/!31
DMG/!Aerial/!23.906,73.160/!ump45/!broky /!24.734,77.043/!31
DMG/!Aerial/!23.834,73.169/!ump45/!broky /!24.843,77.018/!31
DMG/!Aerial/!23.870,73.160/!ump45/!broky /!24.843,77.018/!31
KILL/!Aerial/!23.870,73.160/!ump45/!broky /!24.843,77.018
DMG/!NiKo /!24.469,81.438/!deagle/!Aerial/!23.881,73.158/!49
KILL/!NiKo /!24.469,81.438/!deagle/!Aerial/!23.881,73.158
DMG/!coldzera /!62.967,52.566/!deagle/!allu/!39.951,53.430/!35
DMG/!allu/!39.952,53.434/!awp/!coldzera /!62.967,52.566/!140
KILL/!allu/!39.952,53.434/!awp/!coldzera /!62.967,52.566
KILL/!NiKo /!18.566,76.360/!deagle HS/!suNny/!27.470,76.647
DMG/!NiKo /!18.566,76.360/!deagle/!suNny/!27.470,76.647/!194
DMG/!allu/!25.108,61.492/!awp/!NiKo /!17.804,75.434/!452
KILL/!allu/!25.108,61.492/!awp HS/!NiKo /!17.804,75.434
DMG/!Jamppi/!29.107,83.601/!awp/!Bymas/!55.617,75.400/!83
DMG/!Aerial/!44.220,72.315/!ump45/!NiKo /!45.298,66.588/!19
DMG/!NiKo /!45.316,66.592/!ak47/!Aerial/!44.236,72.319/!26
DMG/!Aerial/!44.236,72.319/!ump45/!NiKo /!45.327,66.594/!19
KILL/!NiKo /!45.403,66.606/!ak47 HS/!Aerial/!44.236,72.319
DMG/!NiKo /!45.403,66.606/!ak47/!Aerial/!44.236,72.319/!110
DMG/!NiKo /!45.823,68.074/!ak47/!Jamppi/!24.663,79.835/!12
DMG/!NiKo /!45.830,68.087/!ak47/!Jamppi/!24.663,79.915/!25
DMG/!NiKo /!45.841,68.108/!ak47/!Jamppi/!24.659,80.119/!7
DMG/!broky /!46.383,63.996/!awp/!sergej/!53.692,22.617/!134
KILL/!broky /!46.383,63.996/!awp/!sergej/!53.692,22.617
DMG/!coldzera /!39.675,81.110/!ak47/!Jamppi/!24.617,80.682/!27
DMG/!Bymas/!35.053,81.531/!ak47/!Jamppi/!24.617,80.670/!34
KILL/!Bymas/!35.053,81.531/!ak47/!Jamppi/!24.617,80.670
DMG/!allu/!23.782,54.974/!awp/!Bymas/!30.891,82.627/!83
KILL/!allu/!23.782,54.974/!awp/!Bymas/!30.891,82.627
DMG/!broky /!38.343,72.927/!awp/!allu/!16.890,61.265/!109
KILL/!broky /!38.343,72.927/!awp/!allu/!16.890,61.265
DMG/!suNny/!80.703,37.086/!m4a1/!coldzera /!87.377,38.854/!91
DMG/!coldzera /!87.316,38.898/!ak47/!suNny/!80.703,37.087/!142
KILL/!coldzera /!87.316,38.898/!ak47 HS/!suNny/!80.703,37.087
DMG/!NiKo /!73.086,20.998/!inferno/!sergej/!65.666,26.146/!1
DMG/!NiKo /!72.817,20.930/!inferno/!sergej/!65.418,26.278/!2
DMG/!NiKo /!72.535,20.872/!inferno/!sergej/!65.173,26.798/!3
